Rating,Review_title,Review_comment,Hotel_site
5,Exceptional,spa really good breakfast fantastic highly recommend hotel,Adama
5,Exceptional,great property nice location,Adama
5,Exceptional,great place stay nice stay hotel everyone nice friendly,Adama
5,Exceptional,soo good,Adama
5,Exceptional,great experience adama haile resort great service clean well coming supporting team,Adama
5,Exceptional,stayed one night great time staff friendly extremely polite cooperative,Adama
5,Exceptional,exceptional,Adama
4,Very good,good,Adama
5,Exceptional,exceptional,Adama
5,Impressed with the improved service,visited year impressed greatly improved service also provided tea time refreshment breakfast service good room quiet comfortable eco friendly,Adama
5,Friendly and clean,staff friendly accommodation clean comfortable hotel well organized garden food delicious suit personally haile special juice good however tissue inconvenient remove makeup use toilet paper,Adama
5,Exceptional,really try thank abreham customer service excellent ever want go recommend,Adama
5,Exceptional,clean great staff delicious food great amenity,Arba Minch
5,Exceptional,beautiful hotel location helpful staff,Arba Minch
5,Exceptional,lovely area gorgeous view highly recommend visiting dorze village boat ride hiking spring,Arba Minch
5,Exceptional,excellent service great quality,Arba Minch
5,Exceptional,nice vacation place,Arba Minch
5,Exceptional,everything good professional breakfast spa massage pool worker hotel polite general really enjoyed stay haile resort thank hope come,Arba Minch
5,Exceptional,enjoyed amazing view courteous customer atmosphere every stuff member property starting airport shuttle service way hotel stay,Arba Minch
5,Exceptional,clean resort beautiful view,Arba Minch
4,Very good,hotel staff great not really helpful arranging transportation option visit local township wifi access unstable especially room,Arba Minch
5,Exceptional,super friendly hospitality amazing room clean,Arba Minch
5,Exceptional,amazing view,Arba Minch
4,Very good,thanks,Arba Minch
5,Exceptional,absolutely stunning place exceptional customer service highly recommend,Arba Minch
5,Two thumbs up,absolutely loved stay haile view amazing food great staff terrific swam pool everyday enjoyed gym well sad leave back,Arba Minch
5,Coming back for sure,expected lot exceeded starting friendly reception good management handling minor complaint clean top experience,Arba Minch
5,THE NAME SPEAKS BY ITSELF- HAILE RESORT,organized accommodating thank comfort wonderful experience stay infact name speaks lot haile resort addis workessa,Arba Minch
5,Exceptional,everything,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,nice hotel well equipped magnificent view pool side staff attentive need responsive efficient gave nice surprise birthday highly recommend,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,cleanliness friendly staff,Arba Minch
5,Exceptional,staff super nice,Arba Minch
5,Wonderful visit'Loved Our Stay,rented premium suite family five added comfortable cot day two extremely comfortable adjoining room connected living area middle worth pay extra wake sunrise lake mountain absolutely gorgeous view air conditioning great asset shower pressure comfortably strong included morning buffet great la carte menu took hour prepare every time cost time feed five u convenient eat hotel sometimes food better cheaper paradise lodge tourisy hotel,Arba Minch
5,Perfect ! Amazing !,amazing thanks every one haile resort hope see,Arba Minch
5,magnificent,professional best service ever get thanks,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,international standard breakfast room cleaniness profesional staff service,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,excellent stay family highly recommend people,Arba Minch
5,Exceptional,stay frequently count excellent service everything working order stress free staff wonderful like food much,Arba Minch
5,Amazing staff with stunning scenery??,short amazing stay haile arbaminch helpful staff amazing smile clean environment breathtaking scenery cliff food taste great highly recommend lake side room best terrace view not run activity wish hotel extends guest complementary facility courtesy shuttle pickup time rather checkout time afternoon airport shuttle service deeply satisfied proud recommend hotel,Arba Minch
4,Very good,great view abaya chamo lake good restaurant cleanness property,Arba Minch
5,Exceptional,beautiful view super clean everything worked great shower bathroom delicious food love staying,Arba Minch
5,Exceptional,hotel international standard service amenity including spa food superb variety location hotel scenic overlooking lake hill lash forest good getaway location away busy city,Arba Minch
5,Exceptional,mesmerised perfect hotel heavenly kind customer service thing say god bless whole staff haile resort keep nice service,Arba Minch
3,Good,spa really good people working spa department really good job generally employee working property treat customer really good room aminities like shampoo rooth paste shower cup paying lot doesnt even get basic aminities additionally food haile resort doesnt taste really good ua priced need work resturants,Arba Minch
5,Exceptional,great staff hotel best respectful far accommodate need customer love,Arba Minch
5,Room was spacious and clean. Staff vary friendly,room spacious clean staff friendly helpful hotel good location close restaurant amenity,Arba Minch
5,Exceptional,haile resort excellent every sense,Arba Minch
4,Very good,like cleanness room restaurant serviceis excellent royal level reception start right gate follows way untill leave resort steam sauna spa complimentary massage also reasonable price couple thing not like book two room family charged addtion bed broght kid bit strange based experinces north american hotles try best accomodate guest another strange thing check wait till someone sent check room not know necessay specially credit card info opnion expected trust guest,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,attentive staff meet expectation everything good,Arba Minch
4,Very good,nice relaxing,Arba Minch
4,Very good,multiple time last year continues always clean neat food improving nicely service many time slow even people hotel covid service staff friendly nice gym cleaner machine working close door night limit mosquito hotel lobby,Arba Minch
4,Very good,location hill overlooking lake good staff food also good however front desk not provide tourist information access nearby world heritage site look since hotel good location nice tour desk guest ample time budget seem rent go one staying hotel seems go world famous konso poor local minibus,Arba Minch
4,Very good,scenery escarpment jungle lake hill background great,Arba Minch
5,Our best hotel experience in Ethiopia,best hotel experience ethiopia place nice beautiful view lake establishment recent well equipped comfortable restaurant good staff attentive,Arba Minch
3,Good,clean sharp great view great help staff,Arba Minch
5,Exceptional,great location view staff helpful good food,Arba Minch
4,Very good,new hotel arba minch beautifully located rift valley natural reserve forest valley lake nice facility good food nice staff good opportunity excursion spring lake chamo dorze village,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Attentive and exceptional location for a sweet short stay,hospitality attentiveness staff beginning end welcoming professional nothing not like staff performed role consideration according person personal preference,Arba Minch
5,Exceptional,customer service staff well trained smiled every conversation elevator not working stay,Arba Minch
4,Superb,real good service friendly staff good room great view not much probably continental meal option ethiopian cuisine however good,Arba Minch
4,Very good,excellent breakfast beautiful location friendly staff weak wifi connection poor house keeping reminded clean room,Arba Minch
4,Superb,staff exceptional specially lady called meskerem work chef went beyond make sure need met view mesmerizing relaxing,Arba Minch
5,Exceptional,really love place staff professionalism totally feel like family memorable place,Arba Minch
5,Beautiful place,location staff food highlight stay,Arba Minch
4,Superb,staff helpful location far city,Arba Minch
4,Extraordinary stay and comfort.,diverse really nutritional,Arba Minch
5,Wonderful,exceptional staff front desk business office housekeeping particularly dining room bed comfortable,Arba Minch
4,Very good,staff exceptionally knowledgeable welcoming went way ensure taken care ambience resort quite breathtaking breakfast buffet quite nice offered english menu item definitely recommend anyone visiting arba minche negative part stay wifi wifi absolutely horrible worked day throughout resort never worked room use phone data portable myfi room,Arba Minch
