Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
5,I loved it,clean beautiful chilled place,Addis Ababa,0.765,Positive,I loved it clean beautiful chilled place,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,top,top,Addis Ababa,0.2023,Positive,top top,0,Room Quality and Comfort
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
